field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
expanded_other_provisions,Expanded Other Provisions,W093,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
appointment_end_event,Appointment End Event,,select_one,text,narrative_derived,termination_condition,,,5,green,,Y,,llm_over_narrative,"value_in(report_filed, hearing_concluded, case_dismissed, date_certain, final_judgment, other)"
appointment_end_date,Appointment End Date,W100,date,date,narrative_derived,event_date,,,5,green,,Y,,llm_over_narrative,
report_requirement,Report Requirement,,select_one,text,legal_choice,report_election,,,20,yellow,,,Y,human_decision,
summary_report_deadline,Summary Report Deadline,W103,date,date,narrative_derived,event_date,,,5,green,,Y,,llm_over_narrative,
full_report_deadline_date,Full Report Deadline Date,W106,date,date,narrative_derived,event_date,,,5,green,,Y,,llm_over_narrative,
report_issues,Report Issues,W108,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
probate_fee_rate,Probate Fee Rate,W110,currency,currency,narrative_derived,fee_rate,,,5,green,,Y,,llm_over_narrative,
probate_fee_hours,Probate Fee Hours,W111,text,number,narrative_derived,number_count,,,5,green,,Y,,llm_over_narrative,
fee_structure,Fee Structure,,select_one,text,legal_choice,fee_structure,,,20,yellow,,,Y,human_decision,"value_in(hourly_cap, flat_fee, hourly_rate, hourly_cap_with_additional)"
flat_fee_amount,Flat Fee Amount,W113,currency,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
flat_fee_additional,Flat Fee Additional,W114,currency,currency,narrative_derived,fee,,,5,green,,Y,,llm_over_narrative,
hourly_cap_total,Hourly Cap Total,W116,currency,currency,narrative_derived,fee,,,5,green,,Y,,llm_over_narrative,
hourly_cap_hours,Hourly Cap Hours,W117,text,number,narrative_derived,number_count,,,5,green,,Y,,llm_over_narrative,
hourly_rate,Hourly Rate,W118,currency,currency,narrative_derived,fee_rate,,,5,green,,Y,,llm_over_narrative,
hourly_additional_cap,Hourly Additional Cap,W119,currency,currency,narrative_derived,fee,,,5,green,,Y,,llm_over_narrative,
payment_method,Payment Method,,select_one,text,legal_choice,payment_method,,,20,yellow,,,Y,human_decision,"value_in(lump_sum, percent, periodic, periodic_bill, other)"
lump_sum_deadline,Lump Sum Deadline,W121,date,date,narrative_derived,event_date,,,5,green,,Y,,llm_over_narrative,
petitioner_lump_sum,Petitioner Lump Sum,W122,currency,currency,narrative_derived,fee,,,5,green,,Y,,llm_over_narrative,
respondent_lump_sum,Respondent Lump Sum,W123,currency,currency,narrative_derived,fee,,,5,green,,Y,,llm_over_narrative,
other_lump_sum_name,Other Lump Sum Name,W124,text,person_name,party_attr,other_payor,,,0,green,Y,,,other_payor_record.other_payor,
other_lump_sum_amount,Other Lump Sum Amount,W125,currency,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
billing_frequency,Billing Frequency,,select_one,text,legal_choice,billing_frequency,,,20,yellow,,,Y,human_decision,
petitioner_percent,Petitioner Percent,W130,text,number,narrative_derived,percent,,,5,green,,Y,,llm_over_narrative,
respondent_percent,Respondent Percent,W131,text,number,narrative_derived,percent,,,5,green,,Y,,llm_over_narrative,
other_percent_name,Other Percent Name,W132,text,person_name,party_attr,other_payor,,,0,green,Y,,,other_payor_record.other_payor,
other_percent_amount,Other Percent Amount,W133,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
payment_days,Payment Days,,select_one,number,narrative_derived,number_count,,,5,green,,Y,,llm_over_narrative,
petitioner_periodic_amount,Petitioner Periodic Amount,W138,currency,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_periodic_frequency,Petitioner Periodic Frequency,,select_one,text,legal_choice,payment_frequency,,,20,yellow,,,Y,human_decision,
respondent_periodic_amount,Respondent Periodic Amount,W141,currency,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_periodic_frequency,Respondent Periodic Frequency,,select_one,text,legal_choice,payment_frequency,,,60,orange,,,Y,human_decision,
other_periodic_name,Other Periodic Name,W144,text,person_name,party_attr,other_payor,,,40,orange,Y,,,other_payor_record.other_payor,
other_periodic_amount,Other Periodic Amount,W145,currency,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
other_periodic_frequency,Other Periodic Frequency,,select_one,text,legal_choice,payment_frequency,,,60,orange,,,Y,human_decision,
judge_date,Judge Date,W148,date,date,external,judge_date,,,5,green,,,,left_blank,
judge_name,Judge Name,W149,text,text,external,judge_name,,,5,green,,,,left_blank,
