field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No.,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
respondent_name,In Re: Respondent,,text,text,party_attr,respondent,,,0,green,Y,,,respondent_record.respondent,
petition_type,Petition Type,,select_one,checkbox,legal_choice,petition_type,,,20,yellow,,,Y,human_decision,
petitioner_info,"Full legal name, address and email address of Petitioner",,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_relationship,Relationship of each Petitioner to Respondent,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_info,Full legal name and address for each nominee,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_location,"Full legal name, address and current location of Respondent",,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_age,Age of the Respondent,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_relationship,Relationship of each nominee to the Respondent,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
persons_to_notify,Names and addresses of all persons who must be notified,W012,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
emergency_guardian_requested,Emergency Guardian Requested,,select_one,checkbox,legal_choice,emergency_guardian_requested,,,20,yellow,,,Y,human_decision,
emergency_guardian_details,Name and address of suggested emergency guardian,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
guardianship_scope,Guardianship Scope,,select_one,checkbox,legal_choice,guardianship_scope,,,20,yellow,,,Y,human_decision,
guardianship_scope_details,Description of why limited/full guardianship is appropriate,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_need_description,Description of Respondent's alleged need and alternatives considered,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_justification,Description of why each nominee should be appointed,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_attorney,Respondent Attorney,,select_one,text,narrative_derived,yes_no,,,5,green,,Y,,llm_over_narrative,"value_in(yes, no)"
respondent_attorney_details,Name and address of Respondent's attorney,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
limit_contact_persons,Persons with whom Petitioner seeks to limit Respondent's contact,W068,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_property,Statement of Respondent's property and estimated value,W076,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
interpreter_required,Interpreter Required,,select_one,checkbox,legal_choice,interpreter_required,,,20,yellow,,,Y,human_decision,
nominee_bankruptcy,Nominee Bankruptcy,,select_one,checkbox,legal_choice,nominee_bankruptcy,,,20,yellow,,,Y,human_decision,
nominee_conviction,Nominee Conviction,,select_one,checkbox,legal_choice,nominee_conviction,,,28,yellow,,,Y,human_decision,
petition_date,Dated,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_signature,Petitioner or Attorney for Petitioner,,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
copetitioner_signature,Co-Petitioner (if any),,text,signature,signature,copetitioner_signature,,,5,green,,,Y,wet_ink,
attorney_signature,Attorney (Required by Rule 11),,text,signature,signature,attorney_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,,text,person_name,party_attr,attorney,,,40,orange,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W103,text,address,party_attr,attorney,,,40,orange,Y,,,attorney_record.attorney,
attorney_phone,Attorney Phone Number,,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Maine Bar Number,,text,bar_number,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_email,Attorney Email Address,,text,email,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
