field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,W001,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No,W002,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
individual_name,Individual Name,W003,text,person_name,party_attr,individual_under_protection,,,0,green,Y,,,individual_under_protection_record.individual_under_protection,
claimant_name,Claimant Name,W004,text,person_name,party_attr,claimant,,,0,green,Y,,,claimant_record.claimant,
claimant_address,Claimant Address,W005,text,address,party_attr,claimant,,,8,green,Y,,,claimant_record.claimant,
basis_for_claim,Basis For Claim,W007,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nature_of_uncertainty,Nature Of Uncertainty,W008,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
security_for_claim,Security For Claim,W009,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
claimant_date,Claimant Date,W010,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
claimant_signature,Claimant Signature,W011,text,signature,signature,claimant_signature,,,5,green,,,Y,wet_ink,
claimant_attorney_name,Claimant Attorney Name,W012,text,person_name,party_attr,attorney_for_claimant,,,0,green,Y,,,attorney_for_claimant_record.attorney_for_claimant,
claimant_attorney_address,Claimant Attorney Address,W013,text,address,party_attr,attorney_for_claimant,,,0,green,Y,,,attorney_for_claimant_record.attorney_for_claimant,
claimant_attorney_phone,Claimant Attorney Phone,W015,text,phone,party_attr,attorney_for_claimant,,,0,green,Y,,,attorney_for_claimant_record.attorney_for_claimant,
claimant_attorney_bar_number,Claimant Attorney Bar Number,W016,text,bar_number,party_attr,attorney_for_claimant,,,0,green,Y,,,attorney_for_claimant_record.attorney_for_claimant,
claimant_attorney_email,Claimant Attorney Email,W017,text,email,party_attr,attorney_for_claimant,,,0,green,Y,,,attorney_for_claimant_record.attorney_for_claimant,
decision_status,Decision Status,,select_one,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
partial_amount,Partial Amount,W020,currency,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
notice_mailed_date,Notice Mailed Date,W022,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
conservator_date,Conservator Date,W023,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
conservator_signature,Conservator Signature,W024,text,signature,signature,conservator_signature,,,5,green,,,Y,wet_ink,
conservator_attorney_name,Conservator Attorney Name,W025,text,person_name,party_attr,attorney_for_conservator,,,0,green,Y,,,attorney_for_conservator_record.attorney_for_conservator,
conservator_attorney_address,Conservator Attorney Address,W026,text,address,party_attr,attorney_for_conservator,,,0,green,Y,,,attorney_for_conservator_record.attorney_for_conservator,
conservator_attorney_phone,Conservator Attorney Phone,W028,text,phone,party_attr,attorney_for_conservator,,,0,green,Y,,,attorney_for_conservator_record.attorney_for_conservator,
conservator_attorney_bar_number,Conservator Attorney Bar Number,W029,text,bar_number,party_attr,attorney_for_conservator,,,0,green,Y,,,attorney_for_conservator_record.attorney_for_conservator,
conservator_attorney_email,Conservator Attorney Email,W030,text,email,party_attr,attorney_for_conservator,,,0,green,Y,,,attorney_for_conservator_record.attorney_for_conservator,
