field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county_probate_court,County Probate Court,,text,entity_name,case_constant,county_probate_court,,,0,green,Y,,,case_dict.county_probate_court,populate_from_case_dict
docket_no,Docket No.,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
respondent_name,Respondent Name,,text,text,party_attr,respondent,,,0,green,Y,,,respondent_record.respondent,
guardian_checkbox,Guardian,,enabler,checkbox,legal_choice,guardian_checkbox,,,20,yellow,,,Y,human_decision,
conservator_checkbox,Conservator,,enabler,checkbox,legal_choice,conservator_checkbox,,,20,yellow,,,Y,human_decision,
petitioner_name,Petitioner Name,,text,person_name,party_attr,petitioner,,,8,green,Y,,,petitioner_record.petitioner,
petitioner_city,Petitioner City,,text,text,party_attr,petitioner,,,8,green,Y,,,petitioner_record.petitioner,
circumstances_of_harm,Circumstances of Immediate Harm,,text,text,narrative_derived,emergency_circumstances,,,5,green,,Y,,llm_over_narrative,
requested_powers,Requested Powers and Authority,,text,text,narrative_derived,emergency_relief_request,,,5,green,,Y,,llm_over_narrative,
notice_name_1,Name 1,,text,text,narrative_derived,repeating_slot,notice,1,20,yellow,,Y,,llm_over_narrative,
notice_address_1,Address 1,,text,text,narrative_derived,repeating_slot,notice,1,20,yellow,,Y,,llm_over_narrative,
notice_relationship_1,Relationship 1,,text,text,narrative_derived,repeating_slot,notice,1,20,yellow,,Y,,llm_over_narrative,
notice_datetime_1,Date/Time Notice 1,,text,text,narrative_derived,repeating_slot,notice,1,20,yellow,,Y,,llm_over_narrative,
notice_location_1,Location/Method 1,,text,text,narrative_derived,repeating_slot,notice,1,20,yellow,,Y,,llm_over_narrative,
notice_name_2,Name 2,,text,text,narrative_derived,repeating_slot,notice,2,20,yellow,,Y,,llm_over_narrative,
notice_address_2,Address 2,,text,text,narrative_derived,repeating_slot,notice,2,20,yellow,,Y,,llm_over_narrative,
notice_relationship_2,Relationship 2,,text,text,narrative_derived,repeating_slot,notice,2,20,yellow,,Y,,llm_over_narrative,
notice_datetime_2,Date/Time Notice 2,,text,text,narrative_derived,repeating_slot,notice,2,20,yellow,,Y,,llm_over_narrative,
notice_location_2,Location/Method 2,,text,text,narrative_derived,repeating_slot,notice,2,20,yellow,,Y,,llm_over_narrative,
notice_name_3,Name 3,,text,text,narrative_derived,repeating_slot,notice,3,20,yellow,,Y,,llm_over_narrative,
notice_address_3,Address 3,,text,text,narrative_derived,repeating_slot,notice,3,48,orange,,Y,,llm_over_narrative,
notice_relationship_3,Relationship 3,,text,text,narrative_derived,repeating_slot,notice,3,48,orange,,Y,,llm_over_narrative,
notice_datetime_3,Date/Time Notice 3,,text,text,narrative_derived,repeating_slot,notice,3,48,orange,,Y,,llm_over_narrative,
notice_location_3,Location/Method 3,,text,text,narrative_derived,repeating_slot,notice,3,28,yellow,,Y,,llm_over_narrative,
notice_name_4,Name 4,,text,text,narrative_derived,repeating_slot,notice,4,48,orange,,Y,,llm_over_narrative,
notice_address_4,Address 4,,text,text,narrative_derived,repeating_slot,notice,4,48,orange,,Y,,llm_over_narrative,
notice_relationship_4,Relationship 4,,text,text,narrative_derived,repeating_slot,notice,4,48,orange,,Y,,llm_over_narrative,
notice_datetime_4,Date/Time Notice 4,,text,text,narrative_derived,repeating_slot,notice,4,48,orange,,Y,,llm_over_narrative,
notice_location_4,Location/Method 4,,text,text,narrative_derived,repeating_slot,notice,4,48,orange,,Y,,llm_over_narrative,
notice_name_5,Name 5,,text,text,narrative_derived,repeating_slot,notice,5,32,yellow,,Y,,llm_over_narrative,
notice_address_5,Address 5,,text,text,narrative_derived,repeating_slot,notice,5,32,yellow,,Y,,llm_over_narrative,
