field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,W001,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No,W002,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
case_name,Case Name,W003,text,text,case_constant,case_name,,,0,green,Y,,,case_dict.case_name,populate_from_case_dict
party_name,Party Name,W004,text,person_name,party_attr,form_subject,,,0,green,Y,,,form_subject_record.form_subject,
date_of_birth,Date Of Birth,W005,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
age,Age,W006,text,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
phone,Phone,W007,text,phone,party_attr,form_subject_phone,,,0,green,Y,,,form_subject_record.form_subject_phone,
address,Address,W008,text,address,party_attr,form_subject_address,,,0,green,Y,,,form_subject_record.form_subject_address,
request_type,Request Type,,select_many,checkbox,legal_choice,request_type,,,20,yellow,,,Y,human_decision,
marital_status,Marital Status,,select_one,text,narrative_derived,marital_status,,,5,green,,Y,,llm_over_narrative,"value_in(single, married, divorced, widowed, separated, civil_union)"
living_arrangement,Living Arrangement,,select_one,text,narrative_derived,living_arrangement,,,5,green,,Y,,llm_over_narrative,"value_in(own, rent, parent_home, room_or_board, institutional, alone, with_relatives, other)"
living_arrangement_other,Living Arrangement Other,W024,text,text,narrative_derived,radio_other_specify,,,5,green,,Y,,llm_over_narrative,
dependents_list,Dependents List,W026,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
cash_on_hand,Cash On Hand,W029,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
checking_institution,Checking Institution,W030,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
checking_amount,Checking Amount,W031,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
savings_institution,Savings Institution,W032,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
savings_amount,Savings Amount,W033,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
stocks_bonds_specify,Stocks Bonds Specify,W034,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
stocks_bonds_amount,Stocks Bonds Amount,W035,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
bail_amount,Bail Amount,W036,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
other_assets_specify,Other Assets Specify,W037,text,text,narrative_derived,free_text,,,37,orange,,Y,,llm_over_narrative,
other_assets_amount,Other Assets Amount,W038,text,currency,narrative_derived,free_text,,,37,orange,,Y,,llm_over_narrative,
total_cash_assets,Total Cash Assets,W039,text,currency,computed,total_cash_assets,,,0,green,Y,,,recompute_from_dependencies,recompute_from_dependencies
employer_name_address,Employer Name Address,W041,text,text,party_attr,employer,,,0,green,Y,,,form_subject_employer_record.employer,
length_employed,Length Employed,W042,text,text,narrative_derived,duration_text,,,5,green,,Y,,llm_over_narrative,
employment_type,Employment Type,,select_one,checkbox,legal_choice,employment_type,,,20,yellow,,,Y,human_decision,
last_employment_details,Last Employment Details,W046,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
anticipate_other_employment,Anticipate Other Employment,,select_one,checkbox,legal_choice,anticipate_other_employment,,,20,yellow,,,Y,human_decision,
other_employment_explanation,Other Employment Explanation,W049,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
other_compensation_explanation,Other Compensation Explanation,W050,text,text,narrative_derived,free_text,,,25,yellow,,Y,,llm_over_narrative,
salary_wages_amount,Salary Wages Amount,W051,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
salary_wages_period,Salary Wages Period,,select_one,text,narrative_derived,pay_period,,,5,green,,Y,,llm_over_narrative,"value_in(weekly, biweekly, semi_monthly, monthly, annually, none)"
unemployment_amount,Unemployment Amount,W054,text,currency,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
