field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county_probate_court,County (Probate Court),W001,text,entity_name,case_constant,county_probate_court,,,0,green,Y,,,case_dict.county_probate_court,populate_from_case_dict
name_of_adoptee,Name of Adoptee,W003,text,text,party_attr,name_of_other,,,0,green,Y,,,name_of_other_record.name_of_other,
docket_no,Docket No.,W002,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
birth_mother_name,Birth Mother Name,W004,text,text,party_attr,birth_mother,,,0,green,Y,,,birth_mother_record.birth_mother,
name_of_child,Name of Child,W005,text,text,party_attr,name_of_other,,,0,green,Y,,,name_of_other_record.name_of_other,
surrender_release_recipient,Surrender and Release Recipient (Maine DHHS or licensed adoption agency),W006,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
putative_parent_name,Putative Parent Last Known Name,W008,text,text,party_attr,putative_parent,,,0,green,Y,,,putative_parent_record.putative_parent,
putative_parent_address,Putative Parent Last Known Address,W009,text,address,party_attr,putative_parent,,,0,green,Y,,,putative_parent_record.putative_parent,
putative_parent_statements,Putative Parent Statements,,select_many,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
pregnancy_town_state,Pregnancy Town and State,W018,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
pregnancy_date,Pregnancy Date (on or about),W017,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
putative_parent_likely_address,Putative Parent's Most Likely Address,W019,text,address,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
location_reasons,Reasons for Believed Location,W021,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
newspaper_name_address,Newspaper Name and Address,W024,text,text,party_attr,form_subject,,,12,green,Y,,,form_subject_record.form_subject,
newspaper_reasons,Reasons for Newspaper Choice,W027,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
date_signed,Date Signed,W030,date,signature,signature,date_signed,,,5,green,,,Y,wet_ink,
mother_signature,Mother of Child Signature,W031,text,signature,signature,mother_signature,,,13,green,,,Y,wet_ink,
notary_county,Notary County,W034,text,text,party_attr,notary,,,8,green,Y,,,notary_record.notary,
notary_acknowledgment_date,Acknowledgment Date,W032,text,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
notary_acknowledgment_year,Acknowledgment Year,W033,text,text,narrative_derived,free_text,,,5,green,False,False,True,left_blank,
name_of_appearer,Name of Personally Appearing Affiant,W035,text,text,party_attr,name_of_other,,,8,green,Y,,,name_of_other_record.name_of_other,
notary_signature,Notary Signature,W036,text,signature,signature,notary_signature,,,5,green,,,Y,wet_ink,
notary_print_name,Notary Print Name,W037,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
date_commission_expires,Date Commission Expires,W038,date,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
