field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county_probate_court,County Probate Court,W001,text,entity_name,case_constant,county_probate_court,,,0,green,Y,,,case_dict.county_probate_court,populate_from_case_dict
docket_no,Docket No,W002,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
minor_child_name,Minor Child Name,W003,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
first_legal_parent_info,First Legal Parent Info,W005,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
second_legal_parent_info,Second Legal Parent Info,W007,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
guardian_info,Guardian Info,W009,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_info,Petitioner Info,W011,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_relationship,Petitioner Relationship,W013,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
affiant_name,Affiant Name,W014,text,text,party_attr,affiant,,,0,green,Y,,,affiant_record.affiant,
jurisdictional_inquiries,Jurisdictional Inquiries,,select_many,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
probate_register_name,Probate Register Name,W022,text,text,case_constant,probate_register_name,,,0,green,Y,,,case_dict.probate_register_name,populate_from_case_dict
district_clerk_name,District Clerk Name,W026,text,text,case_constant,district_clerk_name,,,0,green,Y,,,case_dict.district_clerk_name,populate_from_case_dict
district_case_docket,District Case Docket,W027,text,docket_number,case_constant,district_case_docket,,,0,green,Y,,,case_dict.district_case_docket,populate_from_case_dict
district_case_name,District Case Name,W028,text,text,case_constant,district_case_name,,,0,green,Y,,,case_dict.district_case_name,populate_from_case_dict
item_11_district_court_name,Item 11 District Court Name,W030,text,text,narrative_derived,repeating_slot,item,11,20,yellow,,Y,,llm_over_narrative,
petitioner_signature,Petitioner Signature,W031,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
signature_date,Signature Date,W032,text,signature,signature,signature_date,,,5,green,,,Y,wet_ink,
notary_county,Notary County,W033,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
notary_petitioner_name,Notary Petitioner Name,W034,text,person_name,party_attr,notary_appearer,,,100,red,Y,,,notary_record.notary_appearer,"equals_field(petitioner_name, relaxed)"
notary_date,Notary Date,W035,text,signature,signature,notary_date,,,5,green,,,Y,wet_ink,
notary_public_name,Notary Public Name,W036,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
