field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
respondent_name,Respondent Name,,text,text,party_attr,respondent,,,0,green,Y,,,respondent_record.respondent,
petition_type,Petition Type,,select_many,checkbox,legal_choice,petition_type,,,20,yellow,,,Y,human_decision,
petitioner_info,Petitioner Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_interest,Petitioner Interest,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_info,Respondent Info,,text,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
belief_reason_termination,Belief Reason Termination,,enabler,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
termination_reasons_detail,Termination Reasons Detail,,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
belief_reason_removal,Belief Reason Removal,,enabler,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
removal_reasons_detail,Removal Reasons Detail,,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
belief_reason_resignation,Belief Reason Resignation,,enabler,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
resignation_reasons_detail,Resignation Reasons Detail,,text,text,narrative_derived,conditional_section_child,,,13,green,,Y,,llm_over_narrative,
new_guardianship_required,New Guardianship Required,,select_one,checkbox,legal_choice,new_guardianship_required,,,20,yellow,,,Y,human_decision,
new_guardianship_details,New Guardianship Details,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
visitor_type,Visitor Type,,select_many,checkbox,legal_choice,visitor_type,,,28,yellow,,,Y,human_decision,
visitor_required,Visitor Required,,select_one,checkbox,legal_choice,visitor_required,,,20,yellow,,,Y,human_decision,
visitor_details,Visitor Details,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
notify_person_1,Notify Person 1,W028,text,text,narrative_derived,repeating_slot,notify,1,20,yellow,,Y,,llm_over_narrative,
notify_person_2,Notify Person 2,W031,text,text,narrative_derived,repeating_slot,notify,2,20,yellow,,Y,,llm_over_narrative,
notify_person_3,Notify Person 3,W034,text,text,narrative_derived,repeating_slot,notify,3,100,red,,Y,,llm_over_narrative,
notify_person_4,Notify Person 4,W037,text,text,narrative_derived,repeating_slot,notify,4,100,red,,Y,,llm_over_narrative,
notify_person_5,Notify Person 5,W040,text,text,narrative_derived,repeating_slot,notify,5,20,yellow,,Y,,llm_over_narrative,
notify_person_6,Notify Person 6,W043,text,text,narrative_derived,repeating_slot,notify,6,20,yellow,,Y,,llm_over_narrative,
notify_person_7,Notify Person 7,W046,text,text,narrative_derived,repeating_slot,notify,7,20,yellow,,Y,,llm_over_narrative,
notify_person_8,Notify Person 8,W049,text,text,narrative_derived,repeating_slot,notify,8,20,yellow,,Y,,llm_over_narrative,
notify_person_9,Notify Person 9,W052,text,text,narrative_derived,repeating_slot,notify,9,20,yellow,,Y,,llm_over_narrative,
notify_person_10,Notify Person 10,W055,text,text,narrative_derived,repeating_slot,notify,10,20,yellow,,Y,,llm_over_narrative,
notify_person_11,Notify Person 11,W058,text,text,narrative_derived,repeating_slot,notify,11,20,yellow,,Y,,llm_over_narrative,
interpreter_required,Interpreter Required,,select_one,checkbox,legal_choice,interpreter_required,,,20,yellow,,,Y,human_decision,
requested_orders,Requested Orders,,select_many,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
filing_date,Filing Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_signature,Petitioner Signature,,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
co_petitioner_signature,Co Petitioner Signature,,text,signature,signature,co_petitioner_signature,,,5,green,,,Y,wet_ink,
attorney_signature,Attorney Signature,,text,signature,signature,attorney_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,,text,person_name,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W072,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_phone,Attorney Phone,,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Attorney Bar Number,,text,bar_number,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_email,Attorney Email,,text,email,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
