pdf	page	field	old_rect	new_rect	underline_y
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	tangible_personal_property_net_value	[360.0,265.8,499.0,285.0]	[366.0,273.0,499.0,285.0]	285.0
output_fused/estates/DE-502 Demand For Bond (Rev. 7-1-19)_fused.pdf	0	bond_amount	[333.0,253.0,406.0,272.0]	[333.9,259.7,406.0,271.7]	271.7
output_fused/estates/DE-504 Petition to Resolve Disputed Claim and Allowance (Rev. 7-1-19)_fused.pdf	1	claim_amount	[377.0,194.0,504.0,214.0]	[378.2,201.7,504.0,213.7]	213.7
output_fused/gc_adults/PP-405 Bond for Conservator (Rev. 7-1-19)_fused.pdf	1	pledge_personal_property_gross_value	[266.0,111.0,448.0,129.0]	[267.0,116.6,448.0,128.6]	128.6
output_fused/gc_adults/PP-406 Inventory (Rev. 7-1-19)_fused.pdf	2	gross_value_of_real_property	[440.3,94.0,450.0,106.0]	[330.0,94.0,450.0,106.0]	rollback
output_fused/gc_adults/PP-406 Inventory (Rev. 7-1-19)_fused.pdf	2	gross_value_of_personal_property	[440.3,124.0,450.0,136.0]	[330.0,124.0,450.0,136.0]	rollback
output_fused/gc_adults/PP-406 Inventory (Rev. 7-1-19)_fused.pdf	2	gross_value_of_real_property_encumbrances	[440.3,178.0,450.0,190.0]	[330.0,178.0,450.0,190.0]	rollback
output_fused/gc_adults/PP-406 Inventory (Rev. 7-1-19)_fused.pdf	2	gross_value_of_personal_property_encumbrances_2	[440.3,208.0,450.0,220.0]	[330.0,208.0,450.0,220.0]	rollback
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	inventory_total	[360.0,342.2,500.0,365.3]	[366.0,353.5,500.0,365.5]	365.5
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	inventory_tangible_personal_property_value	[360.0,296.3,500.0,319.3]	[366.0,307.6,500.0,319.6]	319.6
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	expenses_amount	[360.0,434.3,500.0,457.3]	[366.0,445.6,500.0,457.6]	457.6
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	current_intangible_personal_property_balance	[360.0,618.2,500.0,641.3]	[366.0,629.5,500.0,641.5]	641.5
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	inventory_intangible_personal_property_value	[360.0,319.3,500.0,342.2]	[366.0,330.5,500.0,342.5]	342.5
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	current_tangible_personal_property_balance	[360.0,595.3,500.0,618.2]	[366.0,606.5,500.0,618.5]	618.5
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	current_total_balance	[360.0,550.0,500.0,572.0]	[366.0,560.0,500.0,572.0]	n/a
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	net_change_in_value	[360.0,459.0,500.0,480.0]	[366.0,468.0,500.0,480.0]	n/a
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	distributions_amount	[360.0,484.2,500.0,504.0]	[366.0,491.5,500.0,503.5]	503.5
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	income_amount	[360.0,415.2,500.0,435.0]	[366.0,422.5,500.0,434.5]	434.5
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	current_real_estate_balance	[360.0,576.3,500.0,596.0]	[366.0,583.6,500.0,595.6]	595.6
output_fused/gc_adults/PP-407 Conservator Account (Rev. 09-12-2019)_fused.pdf	0	inventory_real_estate_value	[360.0,277.4,500.0,297.0]	[366.0,284.5,500.0,296.5]	296.5
