field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
respondent_name,Respondent Name,,text,text,party_attr,respondent,,,0,green,Y,,,respondent_record.respondent,
petition_type,Petition Type,,select_many,checkbox,legal_choice,petition_type,,,60,orange,,,Y,human_decision,
petitioner_name,Petitioner Name,,text,person_name,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_address,Petitioner Address,,text,address,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_relationship,Petitioner Relationship,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_info,Respondent Info,,text,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
respondent_proposed_residence,Respondent Proposed Residence,,text,address,narrative_derived,address,,,5,green,,Y,,llm_over_narrative,
notify_parties,Notify Parties,W013,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
arrangement_nature,Arrangement Nature,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
reason_necessary,Reason Necessary,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nature_extent_need,Nature Extent Need,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
less_restrictive_alternatives,Less Restrictive Alternatives,,text,text,narrative_derived,free_text,,,25,yellow,,Y,,llm_over_narrative,
limit_contact_parties,Limit Contact Parties,W051,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
interpreter_required,Interpreter Required,,select_one,checkbox,legal_choice,interpreter_required,,,20,yellow,,,Y,human_decision,
interpreter_details,Interpreter Details,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
attorney_info,Attorney Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_property,Respondent Property,W063,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
date_signed,Date Signed,,date,signature,signature,date_signed,,,5,green,,,Y,wet_ink,
petitioner_signature,Petitioner Signature,,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
copetitioner_signature,Copetitioner Signature,,text,signature,signature,copetitioner_signature,,,5,green,,,Y,wet_ink,
attorney_signature,Attorney Signature,,text,signature,signature,attorney_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,,text,person_name,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W078,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_phone,Attorney Phone,,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Maine Bar Number,,text,text,party_attr,attorney,,,5,green,Y,,,case_dict.attorney,
attorney_email,Email Address,,text,email,party_attr,attorney,,,5,green,Y,,,case_dict.attorney,
