field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
individual_name,Individual Name,,text,person_name,party_attr,individual_under_protection,,,0,green,Y,,,individual_under_protection_record.individual_under_protection,
report_type,Report Type,,select_one,checkbox,legal_choice,report_type,,,20,yellow,,,Y,human_decision,
guardianship_grant_date,Guardianship Grant Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
full_legal_name_address_location,Full Legal Name Address Location,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
current_mental_physical_social_condition,Current Mental Physical Social Condition,,text,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
living_arrangements,Living Arrangements,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
supported_decision_making_services,Supported Decision Making Services,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
guardian_visits,Guardian Visits,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
actions_taken_by_guardian,Actions Taken By Guardian,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
individual_participation_in_decision_making,Individual Participation In Decision Making,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
facility_plan_consistency,Facility Plan Consistency,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
gifts_received_from_individual,Gifts Received From Individual,,text,text,narrative_derived,financial_disclosure,,,5,green,,Y,,llm_over_narrative,
business_relationships,Business Relationships,,text,text,narrative_derived,financial_disclosure,,,5,green,,Y,,llm_over_narrative,
guardian_fees,Guardian Fees,,currency,currency,narrative_derived,fee,,,5,green,,Y,,llm_over_narrative,
delegated_powers,Delegated Powers,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
plan_deviation_and_revision,Plan Deviation And Revision,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
future_care_plans,Future Care Plans,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
recommendation_for_continued_guardianship,Recommendation For Continued Guardianship,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
co_guardian_status,Co Guardian Status,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
guardian_date,Guardian Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
guardian_signature,Guardian Signature,,text,signature,signature,guardian_signature,,,5,green,,,Y,wet_ink,
co_guardian_date,Co Guardian Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
co_guardian_signature,Co Guardian Signature,,text,signature,signature,co_guardian_signature,,,5,green,,,Y,wet_ink,
