field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,W001,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no,Docket No,W002,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
individual_name,Individual Name,W003,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_contact,Petitioner Contact,W004,text,text,party_attr,petitioner,,,8,green,Y,,,petitioner_record.petitioner,
petitioner_interest,Petitioner Interest,,select_many,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_interest_other,Petitioner Interest Other,W009,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
subject_contact,Subject Contact,W010,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
subject_location,Subject Location,W011,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
subject_return_date,Subject Return Date,W012,text,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
notify_person_1,Notify Person 1,W013,text,text,narrative_derived,repeating_slot,notify,1,20,yellow,,Y,,llm_over_narrative,
notify_person_2,Notify Person 2,W017,text,text,narrative_derived,repeating_slot,notify,2,20,yellow,,Y,,llm_over_narrative,
notify_person_3,Notify Person 3,W021,text,text,narrative_derived,repeating_slot,notify,3,20,yellow,,Y,,llm_over_narrative,
notify_person_4,Notify Person 4,W025,text,text,narrative_derived,repeating_slot,notify,4,20,yellow,,Y,,llm_over_narrative,
notify_person_5,Notify Person 5,W029,text,text,narrative_derived,repeating_slot,notify,5,20,yellow,,Y,,llm_over_narrative,
notify_person_6,Notify Person 6,W033,text,text,narrative_derived,repeating_slot,notify,6,20,yellow,,Y,,llm_over_narrative,
hearing_request,Hearing Request,,select_one,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
date_signed,Date Signed,W039,date,signature,signature,date_signed,,,5,green,,,Y,wet_ink,
petitioner_signature,Petitioner Signature,W040,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
co_petitioner_signature,Co Petitioner Signature,W041,text,signature,signature,co_petitioner_signature,,,5,green,,,Y,wet_ink,
attorney_signature,Attorney Signature,W042,text,signature,signature,attorney_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,W043,text,person_name,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W044,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_phone,Attorney Phone,W046,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Attorney Bar Number,W047,text,bar_number,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_email,Attorney Email,W048,text,email,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
transferring_state,Transferring State,W050,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
